create table DWH_RISK.DP_SAMPLE_FULL_E3
(
  is_zp_proj                    NUMBER,
  is_zp_proj_3m                 NUMBER,
  is_zp_card                    NUMBER,
  is_staff                      NUMBER,
  is_deposit                    NUMBER,
  contract_id                   NUMBER(10),
  obj_id                        NUMBER(10),
  cli_id                        NUMBER(10),
  contract_num                  VARCHAR2(30),
  title                         VARCHAR2(500),
  csln_fromdate                 DATE,
  month_                        DATE,
  year_                         DATE,
  def_1                         NUMBER,
  ever_90_6                     NUMBER,
  ever_60_6                     NUMBER,
  ever_90_9                     NUMBER,
  ever_60_9                     NUMBER,
  ever_90_12                    NUMBER,
  ever_60_12                    NUMBER,
  ever_90_15                    NUMBER,
  ever_60_15                    NUMBER,
  ever_90_18                    NUMBER,
  ever_60_18                    NUMBER,
  part                          CHAR(5),
  same_contract_cnter           NUMBER,
  chr9                          NUMBER,
  chr13                         NUMBER,
  chr14                         NUMBER,
  chr25                         NUMBER,
  chr26                         NUMBER,
  chr28                         NUMBER,
  chr29                         NUMBER,
  chr15                         NUMBER,
  chr27                         NUMBER,
  chr3                          NUMBER,
  chr4                          NUMBER,
  chr5                          NUMBER,
  chr5_1                        NUMBER,
  chr5_2                        NUMBER,
  chr5_3                        NUMBER,
  chr5_4                        NUMBER,
  chr5_5                        NUMBER,
  chr7                          DATE,
  chr8                          NUMBER,
  chr24                         NUMBER,
  chr1                          NUMBER,
  chr2                          NUMBER,
  chr6                          NUMBER,
  chr10                         DATE,
  chr20                         NUMBER,
  chr16                         NUMBER,
  chr17                         NUMBER,
  chr11                         NUMBER,
  chr12                         NUMBER,
  chr10_1                       DATE,
  chr20_1                       NUMBER,
  hr_weighted                   NUMBER,
  day_weighted                  NUMBER,
  perc_work_day                 NUMBER,
  dmonth_weighted               NUMBER,
  salary_agg                    NUMBER,
  avia                          NUMBER,
  hotels_airports               NUMBER,
  tour_agencies                 NUMBER,
  send_money                    NUMBER,
  utilities                     NUMBER,
  food                          NUMBER,
  car                           NUMBER,
  clothes                       NUMBER,
  child_family_clothes          NUMBER,
  sport_clothes                 NUMBER,
  furniture                     NUMBER,
  music                         NUMBER,
  restaurant                    NUMBER,
  pharmacy                      NUMBER,
  alcohol                       NUMBER,
  school_goods                  NUMBER,
  web_shop                      NUMBER,
  cinema                        NUMBER,
  theatre                       NUMBER,
  casino                        NUMBER,
  hospital                      NUMBER,
  school_college                NUMBER,
  cash                          NUMBER,
  outcome                       NUMBER,
  income                        NUMBER,
  kassa                         NUMBER,
  cash_in_no_salary             NUMBER,
  retail                        NUMBER,
  foreign_cash_out              NUMBER,
  cash_in_no_salry              NUMBER,
  distinct_operations           NUMBER,
  avg_outcome                   NUMBER,
  max_otcome                    NUMBER,
  min_outcome                   NUMBER,
  trans_countries               NUMBER,
  pin_changes                   NUMBER,
  pin_wrong                     NUMBER,
  balance_checks_agg            NUMBER,
  internet_bank                 NUMBER,
  cities                        NUMBER,
  countries                     NUMBER,
  white_technic                 NUMBER,
  outsource                     NUMBER,
  calc_1                        NUMBER,
  amt_kzt_avg12                 NUMBER,
  ssl                           NUMBER,
  out_avg_to_max                NUMBER,
  calc_1_group                  NUMBER,
  amt_kzt_avg12_group           NUMBER,
  is_avg_outcome_l_6000         NUMBER,
  is_avg_outcome_h_25000        NUMBER,
  is_chr11_h_2                  NUMBER,
  is_chr24_h_0                  NUMBER,
  is_chr9_h_24                  NUMBER,
  is_avia                       NUMBER,
  is_cinema                     NUMBER,
  is_hospital                   NUMBER,
  is_furniture                  NUMBER,
  is_white_technic              NUMBER,
  is_hotels_airports            NUMBER,
  is_outsource                  NUMBER,
  is_theatre                    NUMBER,
  is_internet_bank              NUMBER,
  is_foreign_cash_out           NUMBER,
  is_casino                     NUMBER,
  is_pin_changes                NUMBER,
  is_pin_wrong                  NUMBER,
  plus_minus                    VARCHAR2(13),
  plus_minus2_miss_zp           VARCHAR2(13),
  plus_minus3_24zp              VARCHAR2(13),
  plus_minus4_avg_out           VARCHAR2(13),
  g4outcome                     VARCHAR2(13),
  outcome_group                 NUMBER,
  income_group_agg              NUMBER,
  g7income                      VARCHAR2(17),
  g5cities                      VARCHAR2(13),
  g5countries                   VARCHAR2(13),
  g5balance_checks_agg          VARCHAR2(13),
  g6salary_agg                  VARCHAR2(17),
  g05avg_outcome                VARCHAR2(13),
  g7ballance_agg                VARCHAR2(13),
  g5distinct_operations         VARCHAR2(13),
  g5food                        VARCHAR2(13),
  dmonth_weighted_group         VARCHAR2(13),
  hr_weighted_group             CHAR(13),
  hr_weighted_group2            CHAR(13),
  hr_weighted_poly2             NUMBER,
  chr_5__5_1__5_4               VARCHAR2(40),
  chr_5__5_1                    VARCHAR2(40),
  chr25_group_mcknz             VARCHAR2(13),
  chr25_group2                  VARCHAR2(13),
